pattern_id,template_id,context_id,failure_evidence_count,pass_contrast_count,related_pattern_count,evidence_status,build_statuses,confirmed_build_count,local_pass_build_count
pat-0309c5bac916128c,fbrt_cutin,legacy_exact:fbrt_cutin:acb4d5d58587,4,1,1,observed_region,"{""idm_ref"": {""failures"": 4, ""observed"": 4, ""passes"": 0, ""status"": ""confirmed_present""}, ""mobil_ref_v2"": {""failures"": 0, ""observed"": 0, ""passes"": 0, ""status"": ""unknown""}, ""ppo_ref_v2"": {""failures"": 0, ""observed"": 0, ""passes"": 0, ""status"": ""unknown""}}",1,0
pat-847839002f8e7ed7,fbrt_cutin,legacy_exact:fbrt_cutin:acb4d5d58587,3,3,1,observed_region,"{""idm_ref"": {""failures"": 4, ""observed"": 5, ""passes"": 1, ""status"": ""confirmed_present""}, ""mobil_ref_v2"": {""failures"": 0, ""observed"": 0, ""passes"": 0, ""status"": ""unknown""}, ""ppo_ref_v2"": {""failures"": 0, ""observed"": 0, ""passes"": 0, ""status"": ""unknown""}}",1,0
pat-34de218f435511d0,fbrt_cutin,legacy_exact:fbrt_cutin:acb4d5d58587,4,1,1,observed_region,"{""idm_ref"": {""failures"": 5, ""observed"": 5, ""passes"": 0, ""status"": ""confirmed_present""}, ""mobil_ref_v2"": {""failures"": 0, ""observed"": 0, ""passes"": 0, ""status"": ""unknown""}, ""ppo_ref_v2"": {""failures"": 0, ""observed"": 0, ""passes"": 0, ""status"": ""unknown""}}",1,0
pat-24ace3627f3dcb85,fbrt_cutin,legacy_exact:fbrt_cutin:acb4d5d58587,4,2,0,observed_region,"{""idm_ref"": {""failures"": 4, ""observed"": 10, ""passes"": 6, ""status"": ""confirmed_present""}, ""mobil_ref_v2"": {""failures"": 0, ""observed"": 0, ""passes"": 0, ""status"": ""unknown""}, ""ppo_ref_v2"": {""failures"": 0, ""observed"": 0, ""passes"": 0, ""status"": ""unknown""}}",1,0
pat-6cf29291b6dfc6c9,fbrt_cutin,legacy_exact:fbrt_cutin:acb4d5d58587,1,1,0,contrast_available,"{""idm_ref"": {""failures"": 1, ""observed"": 6, ""passes"": 5, ""status"": ""confirmed_present""}, ""mobil_ref_v2"": {""failures"": 0, ""observed"": 0, ""passes"": 0, ""status"": ""unknown""}, ""ppo_ref_v2"": {""failures"": 0, ""observed"": 0, ""passes"": 0, ""status"": ""unknown""}}",1,0
pat-ad06fb52b2a6c525,fbrt_cutin,legacy_exact:fbrt_cutin:acb4d5d58587,1,1,1,contrast_available,"{""idm_ref"": {""failures"": 1, ""observed"": 2, ""passes"": 1, ""status"": ""confirmed_present""}, ""mobil_ref_v2"": {""failures"": 0, ""observed"": 0, ""passes"": 0, ""status"": ""unknown""}, ""ppo_ref_v2"": {""failures"": 0, ""observed"": 0, ""passes"": 0, ""status"": ""unknown""}}",1,0
pat-34ce82f328fbff2c,fbrt_cutin,legacy_exact:fbrt_cutin:acb4d5d58587,1,1,1,contrast_available,"{""idm_ref"": {""failures"": 5, ""observed"": 7, ""passes"": 2, ""status"": ""confirmed_present""}, ""mobil_ref_v2"": {""failures"": 0, ""observed"": 0, ""passes"": 0, ""status"": ""unknown""}, ""ppo_ref_v2"": {""failures"": 0, ""observed"": 0, ""passes"": 0, ""status"": ""unknown""}}",1,0
pat-cea3ac2ea680748b,fbrt_cutin,legacy_exact:fbrt_cutin:acb4d5d58587,1,1,1,contrast_available,"{""idm_ref"": {""failures"": 3, ""observed"": 7, ""passes"": 4, ""status"": ""confirmed_present""}, ""mobil_ref_v2"": {""failures"": 0, ""observed"": 0, ""passes"": 0, ""status"": ""unknown""}, ""ppo_ref_v2"": {""failures"": 0, ""observed"": 0, ""passes"": 0, ""status"": ""unknown""}}",1,0
pat-a1acae0d0da3d5ae,fbrt_cutout_static,legacy_exact:fbrt_cutout_static:fc132e731e66,1,1,4,contrast_available,"{""idm_ref"": {""failures"": 1, ""observed"": 1, ""passes"": 0, ""status"": ""confirmed_present""}, ""mobil_ref_v2"": {""failures"": 0, ""observed"": 0, ""passes"": 0, ""status"": ""unknown""}, ""ppo_ref_v2"": {""failures"": 0, ""observed"": 0, ""passes"": 0, ""status"": ""unknown""}}",1,0
pat-4fc2c3845e707447,fbrt_cutout_static,legacy_exact:fbrt_cutout_static:fc132e731e66,1,1,2,contrast_available,"{""idm_ref"": {""failures"": 2, ""observed"": 4, ""passes"": 2, ""status"": ""confirmed_present""}, ""mobil_ref_v2"": {""failures"": 0, ""observed"": 0, ""passes"": 0, ""status"": ""unknown""}, ""ppo_ref_v2"": {""failures"": 0, ""observed"": 0, ""passes"": 0, ""status"": ""unknown""}}",1,0
