method,rank,scenario_id,template_id,selection_reason,selected_build_id,session_id,mode,ego_collision,inconclusive,valid_collision,regression,selection_reward,execution_id,episode_cost,contributing_pattern_ids,new_pattern_id,target_observations_before_query,history_source_count,ucb_count_after,ucb_reward_after,task_id,repeat
Random,1,4179901:S02:space_filling:8,fbrt_cutout_static,seeded_random_without_replacement,ppo_ref_v2,cross_agent_Random_ppo_ref_after_mobil:Random:8,cross_agent,True,False,True,,1,new-85ebd9069e855b6eb7e3065d,1,[],,0,1,,,cross_agent_Random_ppo_ref_after_mobil,8
Random,2,4179901:S01:space_filling:14,fbrt_cutin,seeded_random_without_replacement,ppo_ref_v2,cross_agent_Random_ppo_ref_after_mobil:Random:8,cross_agent,False,False,False,,0,new-c4ed100a60471f29dd0ab1aa,1,[],,1,1,,,cross_agent_Random_ppo_ref_after_mobil,8
Random,3,4179901:S01:space_filling:8,fbrt_cutin,seeded_random_without_replacement,ppo_ref_v2,cross_agent_Random_ppo_ref_after_mobil:Random:8,cross_agent,False,False,False,,0,new-59b0c76f1d568402d889751a,1,[],,2,1,,,cross_agent_Random_ppo_ref_after_mobil,8
Random,4,4179901:S08:space_filling:7,fbrt_cutin_then_brake,seeded_random_without_replacement,ppo_ref_v2,cross_agent_Random_ppo_ref_after_mobil:Random:8,cross_agent,False,False,False,,0,new-7f963078faf35e0d3cba1d63,1,[],,3,1,,,cross_agent_Random_ppo_ref_after_mobil,8
Random,5,4179901:S05:space_filling:4,fbrt_lane_change_rear,seeded_random_without_replacement,ppo_ref_v2,cross_agent_Random_ppo_ref_after_mobil:Random:8,cross_agent,False,False,False,,0,new-70796ad6f91b7c63e06bdc30,1,[],,4,1,,,cross_agent_Random_ppo_ref_after_mobil,8
Random,6,4179901:S02:space_filling:12,fbrt_cutout_static,seeded_random_without_replacement,ppo_ref_v2,cross_agent_Random_ppo_ref_after_mobil:Random:8,cross_agent,True,False,True,,1,new-1e371339cf0230bcf66a56dd,1,[],,5,1,,,cross_agent_Random_ppo_ref_after_mobil,8
Random,7,4179901:S02:anchor_like:0,fbrt_cutout_static,seeded_random_without_replacement,ppo_ref_v2,cross_agent_Random_ppo_ref_after_mobil:Random:8,cross_agent,True,False,True,,1,new-fcae38c2b8dc00d521f7617f,1,[],,6,1,,,cross_agent_Random_ppo_ref_after_mobil,8
Random,8,4179901:S08:anchor_like:1,fbrt_cutin_then_brake,seeded_random_without_replacement,ppo_ref_v2,cross_agent_Random_ppo_ref_after_mobil:Random:8,cross_agent,False,False,False,,0,new-89cb37303d3c6b8661debcb6,1,[],,7,1,,,cross_agent_Random_ppo_ref_after_mobil,8
Random,9,4179901:S05:space_filling:7,fbrt_lane_change_rear,seeded_random_without_replacement,ppo_ref_v2,cross_agent_Random_ppo_ref_after_mobil:Random:8,cross_agent,False,False,False,,0,new-33bee4dca6e80f141cf5ea70,1,[],,8,1,,,cross_agent_Random_ppo_ref_after_mobil,8
Random,10,4179901:S01:space_filling:13,fbrt_cutin,seeded_random_without_replacement,ppo_ref_v2,cross_agent_Random_ppo_ref_after_mobil:Random:8,cross_agent,False,False,False,,0,new-e127122e6f54feb4b6f6ae5c,1,[],,9,1,,,cross_agent_Random_ppo_ref_after_mobil,8
Random,11,4179901:S08:space_filling:8,fbrt_cutin_then_brake,seeded_random_without_replacement,ppo_ref_v2,cross_agent_Random_ppo_ref_after_mobil:Random:8,cross_agent,False,False,False,,0,new-33d03d4957febf1d52117691,1,[],,10,1,,,cross_agent_Random_ppo_ref_after_mobil,8
Random,12,4179901:S06:anchor_like:2,fbrt_moving_lead,seeded_random_without_replacement,ppo_ref_v2,cross_agent_Random_ppo_ref_after_mobil:Random:8,cross_agent,False,False,False,,0,new-bb3bb1e750a6de9bc0183b8e,1,[],,11,1,,,cross_agent_Random_ppo_ref_after_mobil,8
Random,13,4179901:S05:anchor_like:1,fbrt_lane_change_rear,seeded_random_without_replacement,ppo_ref_v2,cross_agent_Random_ppo_ref_after_mobil:Random:8,cross_agent,False,False,False,,0,new-ba08f7446ef64248200f6dde,1,[],,12,1,,,cross_agent_Random_ppo_ref_after_mobil,8
Random,14,4179901:S02:anchor_like:1,fbrt_cutout_static,seeded_random_without_replacement,ppo_ref_v2,cross_agent_Random_ppo_ref_after_mobil:Random:8,cross_agent,True,False,True,,1,new-18b0ff59e7429b93528a4881,1,[],,13,1,,,cross_agent_Random_ppo_ref_after_mobil,8
Random,15,4179901:S08:space_filling:13,fbrt_cutin_then_brake,seeded_random_without_replacement,ppo_ref_v2,cross_agent_Random_ppo_ref_after_mobil:Random:8,cross_agent,False,False,False,,0,new-bae6ebe443d51368cf5f5014,1,[],,14,1,,,cross_agent_Random_ppo_ref_after_mobil,8
Random,16,4179901:S06:anchor_like:0,fbrt_moving_lead,seeded_random_without_replacement,ppo_ref_v2,cross_agent_Random_ppo_ref_after_mobil:Random:8,cross_agent,False,False,False,,0,new-7856c817d75fb2f0e77b3bc0,1,[],,15,1,,,cross_agent_Random_ppo_ref_after_mobil,8
Random,17,4179901:S05:space_filling:13,fbrt_lane_change_rear,seeded_random_without_replacement,ppo_ref_v2,cross_agent_Random_ppo_ref_after_mobil:Random:8,cross_agent,False,False,False,,0,new-20068005c46ba080fdd902b7,1,[],,16,1,,,cross_agent_Random_ppo_ref_after_mobil,8
