snapshot_id,scenario_id,source_profile,seed,action_history,source_state,source_criticality
sc_00000,passing_cutin_g10_dvm8,SM-Normal-IDM,20260917,[],"[4, 3, -1, 2, -2, 0]",3.1289590963415746e-07
sc_00001,passing_cutin_g10_dvm8,SM-Normal-IDM,20260917,[0],"[4, 3, 0, 2, -2, 0]",7.815239087676283e-06
sc_00002,passing_cutin_g10_dvm8,SM-Normal-IDM,20260917,"[0, 1]","[4, 3, -1, 2, -2, 1]",5.0570670512924215e-05
sc_00003,passing_cutin_g10_dvm8,SM-Normal-IDM,20260917,"[0, 1, 1]","[4, 3, -1, 2, -2, 2]",0.00023482387775327837
sc_00004,passing_cutin_g10_dvm8,SM-Normal-IDM,20260917,"[0, 1, 1, 0, 0]","[4, 3, 0, 1, -3, 2]",0.0017144686226666294
sc_00005,passing_cutin_g10_dvm8,SM-Normal-IDM,20260917,"[0, 1, 1, 0, 0, 0]","[4, 3, 0, 1, -3, 3]",0.48053708394532874
sc_00006,passing_cutin_g10_dvm8,SM-Normal-IDM,20260918,[],"[4, 3, -1, 2, -2, 0]",3.1289590963415746e-07
sc_00007,passing_cutin_g10_dvm8,SM-Normal-IDM,20260918,[1],"[4, 3, -1, 2, -2, 0]",3.1289590963415746e-07
sc_00008,passing_cutin_g10_dvm8,SM-Normal-IDM,20260918,"[1, 2]","[4, 3, -1, 2, -2, 1]",5.0570670512924215e-05
sc_00009,passing_cutin_g10_dvm8,SM-Normal-IDM,20260918,"[1, 2, 2]","[4, 3, -1, 2, -2, 2]",0.00023482387775327837
sc_00010,passing_cutin_g10_dvm8,SM-Normal-IDM,20260918,"[1, 2, 2, 2]","[4, 3, -1, 1, -2, 2]",0.005532443062824495
sc_00011,passing_cutin_g10_dvm8,SM-Normal-IDM,20260918,"[1, 2, 2, 2, 0]","[4, 3, -1, 1, -2, 2]",0.005532443062824495
sc_00012,passing_cutin_g10_dvm8,SM-Normal-IDM,20260918,"[1, 2, 2, 2, 0, 2]","[4, 3, -1, 1, -2, 3]",0.8155835216297883
sc_00013,passing_cutin_g10_dvm8,SM-Normal-IDM,20260918,"[1, 2, 2, 2, 0, 2, 2]","[4, 2, -1, 1, -2, 3]",6.170301193153549e-05
sc_00014,passing_cutin_g10_dvm8,SM-Normal-IDM,20260918,"[1, 2, 2, 2, 0, 2, 2, 0]","[4, 2, -1, 1, -2, 4]",0.01135003088086381
sc_00015,passing_cutin_g10_dvm8,SM-Normal-IDM,20260919,[],"[4, 3, -1, 2, -2, 0]",3.1289590963415746e-07
sc_00016,passing_cutin_g10_dvm8,SM-Normal-IDM,20260919,[2],"[4, 3, -1, 2, -2, 0]",3.1289590963415746e-07
sc_00017,passing_cutin_g10_dvm8,SM-Normal-IDM,20260919,"[2, 0]","[4, 3, -1, 2, -2, 1]",5.0570670512924215e-05
sc_00018,passing_cutin_g10_dvm8,SM-Normal-IDM,20260919,"[2, 0, 0]","[4, 3, 0, 2, -2, 2]",5.512338113763682e-06
sc_00019,passing_cutin_g10_dvm8,SM-Normal-IDM,20260919,"[2, 0, 0, 2]","[4, 3, -1, 1, -2, 2]",0.005532443062824495
sc_00020,passing_cutin_g10_dvm8,SM-Normal-IDM,20260919,"[2, 0, 0, 2, 2]","[4, 3, -1, 1, -2, 2]",0.005532443062824495
sc_00021,passing_cutin_g10_dvm8,SM-Normal-IDM,20260919,"[2, 0, 0, 2, 2, 0, 2]","[4, 3, -1, 1, -2, 3]",0.8155835216297883
sc_00022,passing_cutin_g10_dvm5,SM-Normal-IDM,20261017,[],"[5, 3, -1, 2, -1, 0]",1.699105675307765e-06
sc_00023,passing_cutin_g10_dvm5,SM-Normal-IDM,20261017,[0],"[5, 3, 0, 2, -2, 0]",1.1215723315144369e-08
sc_00024,passing_cutin_g10_dvm5,SM-Normal-IDM,20261017,"[0, 2]","[5, 3, -1, 2, -1, 1]",4.1366233487228316e-06
sc_00025,passing_cutin_g10_dvm5,SM-Normal-IDM,20261017,"[0, 2, 2]","[5, 3, -1, 1, -1, 2]",0.0010203632168752925
sc_00026,passing_cutin_g10_dvm5,SM-Normal-IDM,20261017,"[0, 2, 2, 1]","[5, 3, -1, 1, -1, 2]",0.0010203632168752925
sc_00027,passing_cutin_g10_dvm5,SM-Normal-IDM,20261017,"[0, 2, 2, 1, 1]","[5, 3, -1, 1, -1, 2]",0.0010203632168752925
sc_00028,passing_cutin_g10_dvm5,SM-Normal-IDM,20261017,"[0, 2, 2, 1, 1, 2]","[5, 3, -1, 1, -1, 3]",0.0019650064877632573
sc_00029,passing_cutin_g10_dvm5,SM-Normal-IDM,20261017,"[0, 2, 2, 1, 1, 2, 2]","[5, 3, -1, 1, -1, 3]",0.0019650064877632573
sc_00030,passing_cutin_g10_dvm5,SM-Normal-IDM,20261018,[],"[5, 3, -1, 2, -1, 0]",1.699105675307765e-06
sc_00031,passing_cutin_g10_dvm5,SM-Normal-IDM,20261018,[1],"[5, 3, -1, 2, -1, 0]",1.699105675307765e-06
sc_00032,passing_cutin_g10_dvm5,SM-Normal-IDM,20261018,"[1, 2]","[5, 3, -1, 2, -1, 1]",4.1366233487228316e-06
sc_00033,passing_cutin_g10_dvm5,SM-Normal-IDM,20261018,"[1, 2, 2]","[5, 3, -1, 2, -1, 2]",1.2723662050841733e-06
sc_00034,passing_cutin_g10_dvm5,SM-Normal-IDM,20261018,"[1, 2, 2, 2]","[5, 3, -1, 1, -1, 2]",0.0010203632168752925
sc_00035,passing_cutin_g10_dvm5,SM-Normal-IDM,20261018,"[1, 2, 2, 2, 1]","[5, 3, -1, 1, -1, 2]",0.0010203632168752925
sc_00036,passing_cutin_g10_dvm5,SM-Normal-IDM,20261018,"[1, 2, 2, 2, 1, 1]","[5, 2, -1, 1, -1, 3]",1.7301498856439666e-05
sc_00037,passing_cutin_g10_dvm5,SM-Normal-IDM,20261018,"[1, 2, 2, 2, 1, 1, 0]","[5, 2, -1, 1, -2, 3]",0.0037308403344886586
sc_00038,passing_cutin_g10_dvm5,SM-Normal-IDM,20261018,"[1, 2, 2, 2, 1, 1, 0, 2, 2, 0]","[5, 2, -1, 1, -1, 5]",0.0884523629825396
sc_00039,passing_cutin_g10_dvm5,SM-Normal-IDM,20261019,[],"[5, 3, -1, 2, -1, 0]",1.699105675307765e-06
sc_00040,passing_cutin_g10_dvm5,SM-Normal-IDM,20261019,[2],"[5, 3, -1, 2, -1, 0]",1.699105675307765e-06
sc_00041,passing_cutin_g10_dvm5,SM-Normal-IDM,20261019,"[2, 1]","[5, 3, -1, 2, -1, 1]",4.1366233487228316e-06
sc_00042,passing_cutin_g10_dvm5,SM-Normal-IDM,20261019,"[2, 1, 0]","[5, 3, -1, 1, -2, 2]",5.811090104945713e-06
sc_00043,passing_cutin_g10_dvm5,SM-Normal-IDM,20261019,"[2, 1, 0, 1]","[5, 3, -1, 1, -2, 2]",5.811090104945713e-06
sc_00044,passing_cutin_g10_dvm5,SM-Normal-IDM,20261019,"[2, 1, 0, 1, 2]","[5, 3, -1, 1, -1, 2]",0.0010203632168752925
sc_00045,passing_cutin_g10_dvm5,SM-Normal-IDM,20261019,"[2, 1, 0, 1, 2, 1]","[5, 3, -1, 1, -1, 3]",0.0019650064877632573
sc_00046,passing_cutin_g10_dvm5,SM-Normal-IDM,20261019,"[2, 1, 0, 1, 2, 1, 0]","[5, 3, 0, 1, -2, 3]",0.004867498496
sc_00047,passing_cutin_g10_dvm2,SM-Normal-IDM,20261117,"[0, 2, 0]","[5, 3, 0, 1, -1, 2]",3.220975015018596e-07
sc_00048,passing_cutin_g10_dvm2,SM-Normal-IDM,20261117,"[0, 2, 0, 0]","[5, 3, 0, 1, -1, 2]",3.220975015018596e-07
sc_00049,passing_cutin_g10_dvm2,SM-Normal-IDM,20261117,"[0, 2, 0, 0, 2]","[5, 3, 0, 1, -1, 2]",3.220975015018596e-07
sc_00050,passing_cutin_g10_dvm2,SM-Normal-IDM,20261117,"[0, 2, 0, 0, 2, 0]","[5, 3, 0, 1, -1, 3]",5.669285716760011e-05
sc_00051,passing_cutin_g10_dvm2,SM-Normal-IDM,20261117,"[0, 2, 0, 0, 2, 0, 2]","[6, 3, -1, 1, -1, 3]",2.1484573422149912e-05
sc_00052,passing_cutin_g10_dvm2,SM-Normal-IDM,20261118,"[1, 0]","[5, 3, 0, 1, -1, 1]",2.7284636872544693e-06
sc_00053,passing_cutin_g10_dvm2,SM-Normal-IDM,20261118,"[1, 0, 1]","[6, 3, -1, 1, -1, 2]",9.040320868815941e-06
sc_00054,passing_cutin_g10_dvm2,SM-Normal-IDM,20261118,"[1, 0, 1, 1]","[6, 3, -1, 1, -1, 2]",9.040320868815941e-06
sc_00055,passing_cutin_g10_dvm2,SM-Normal-IDM,20261118,"[1, 0, 1, 1, 1]","[6, 3, -1, 1, -1, 2]",9.040320868815941e-06
sc_00056,passing_cutin_g10_dvm2,SM-Normal-IDM,20261118,"[1, 0, 1, 1, 1, 1]","[6, 3, -1, 1, -1, 3]",2.1484573422149912e-05
sc_00057,passing_cutin_g10_dvm2,SM-Normal-IDM,20261118,"[1, 0, 1, 1, 1, 1, 1]","[6, 3, -1, 1, -1, 3]",2.1484573422149912e-05
sc_00058,passing_cutin_g10_dvm2,SM-Normal-IDM,20261119,"[2, 0, 0]","[5, 3, 0, 1, -1, 2]",3.220975015018596e-07
sc_00059,passing_cutin_g10_dvm2,SM-Normal-IDM,20261119,"[2, 0, 0, 1]","[5, 3, 0, 1, -1, 2]",3.220975015018596e-07
sc_00060,passing_cutin_g10_dvm2,SM-Normal-IDM,20261119,"[2, 0, 0, 1, 0]","[5, 3, 0, 1, -1, 2]",3.220975015018596e-07
sc_00061,passing_cutin_g10_dvm2,SM-Normal-IDM,20261119,"[2, 0, 0, 1, 0, 0]","[5, 3, 0, 1, -1, 3]",5.669285716760011e-05
sc_00062,passing_cutin_g10_dvm2,SM-Normal-IDM,20261119,"[2, 0, 0, 1, 0, 0, 1]","[5, 3, 0, 1, -1, 3]",5.669285716760011e-05
sc_00063,passing_cutin_g10_dvm2,SM-Normal-IDM,20261119,"[2, 0, 0, 1, 0, 0, 1, 0]","[5, 3, 0, 1, -1, 4]",0.0056732308798526695
sc_00064,passing_cutin_g10_dvm2,SM-Normal-IDM,20261119,"[2, 0, 0, 1, 0, 0, 1, 0, 0]","[5, 3, 0, 1, -1, 4]",0.0056732308798526695
sc_00065,passing_cutin_g18_dvm8,SM-Normal-IDM,20261317,"[0, 0, 0]","[4, 3, 0, 3, -3, 2]",1.953256689183961e-07
sc_00066,passing_cutin_g18_dvm8,SM-Normal-IDM,20261317,"[0, 0, 0, 0]","[4, 3, 0, 2, -3, 2]",2.9637318302604737e-05
sc_00067,passing_cutin_g18_dvm8,SM-Normal-IDM,20261317,"[0, 0, 0, 0, 2]","[4, 3, 0, 2, -3, 2]",2.9637318302604737e-05
sc_00068,passing_cutin_g18_dvm8,SM-Normal-IDM,20261317,"[0, 0, 0, 0, 2, 0]","[4, 3, 0, 2, -3, 3]",0.004236868796617524
sc_00069,passing_cutin_g18_dvm8,SM-Normal-IDM,20261317,"[0, 0, 0, 0, 2, 0, 2, 2]","[4, 3, -1, 1, -2, 4]",0.15863507529857412
sc_00070,passing_cutin_g18_dvm8,SM-Normal-IDM,20261318,"[1, 2]","[4, 3, -1, 3, -2, 1]",1.3740344300971178e-08
sc_00071,passing_cutin_g18_dvm8,SM-Normal-IDM,20261318,"[1, 2, 2]","[4, 3, -1, 3, -2, 2]",5.36587817182161e-07
sc_00072,passing_cutin_g18_dvm8,SM-Normal-IDM,20261318,"[1, 2, 2, 0]","[4, 3, -1, 2, -2, 2]",0.00023482387775327837
sc_00073,passing_cutin_g18_dvm8,SM-Normal-IDM,20261318,"[1, 2, 2, 0, 1]","[4, 3, -1, 2, -2, 2]",0.00023482387775327837
sc_00074,passing_cutin_g18_dvm8,SM-Normal-IDM,20261318,"[1, 2, 2, 0, 1, 1]","[4, 3, -1, 2, -2, 3]",0.0006522971930839053
sc_00075,passing_cutin_g18_dvm8,SM-Normal-IDM,20261318,"[1, 2, 2, 0, 1, 1, 0]","[4, 3, 0, 2, -2, 3]",1.0697896566968219e-05
sc_00076,passing_cutin_g18_dvm8,SM-Normal-IDM,20261318,"[1, 2, 2, 0, 1, 1, 0, 2, 1]","[4, 2, -1, 1, -2, 4]",0.01135003088086381
sc_00077,passing_cutin_g18_dvm8,SM-Normal-IDM,20261319,"[2, 0]","[4, 3, -1, 3, -2, 1]",1.3740344300971178e-08
sc_00078,passing_cutin_g18_dvm8,SM-Normal-IDM,20261319,"[2, 0, 0]","[4, 3, 0, 3, -2, 2]",3.890226745951475e-06
sc_00079,passing_cutin_g18_dvm8,SM-Normal-IDM,20261319,"[2, 0, 0, 1]","[4, 3, 0, 2, -2, 2]",5.512338113763682e-06
sc_00080,passing_cutin_g18_dvm8,SM-Normal-IDM,20261319,"[2, 0, 0, 1, 2]","[4, 3, -1, 2, -2, 2]",0.00023482387775327837
sc_00081,passing_cutin_g18_dvm8,SM-Normal-IDM,20261319,"[2, 0, 0, 1, 2, 0]","[4, 3, 0, 2, -3, 3]",0.004236868796617524
sc_00082,passing_cutin_g18_dvm8,SM-Normal-IDM,20261319,"[2, 0, 0, 1, 2, 0, 1]","[4, 3, -1, 2, -2, 3]",0.0006522971930839053
sc_00083,passing_cutin_g18_dvm8,SM-Normal-IDM,20261319,"[2, 0, 0, 1, 2, 0, 1, 2]","[4, 3, -1, 1, -2, 4]",0.15863507529857412
sc_00084,passing_cutin_g18_dvm5,SM-Normal-IDM,20261417,[],"[5, 3, -1, 3, -1, 0]",2.4205450052724555e-07
sc_00085,passing_cutin_g18_dvm5,SM-Normal-IDM,20261417,"[0, 2]","[5, 3, -1, 3, -1, 1]",6.482402898980984e-07
sc_00086,passing_cutin_g18_dvm5,SM-Normal-IDM,20261417,"[0, 2, 1]","[5, 3, -1, 2, -1, 2]",1.2723662050841733e-06
sc_00087,passing_cutin_g18_dvm5,SM-Normal-IDM,20261417,"[0, 2, 1, 0]","[5, 3, 0, 2, -2, 2]",4.888803519771798e-08
sc_00088,passing_cutin_g18_dvm5,SM-Normal-IDM,20261417,"[0, 2, 1, 0, 0]","[5, 3, 0, 2, -2, 2]",4.888803519771798e-08
sc_00089,passing_cutin_g18_dvm5,SM-Normal-IDM,20261417,"[0, 2, 1, 0, 0, 0]","[4, 3, 0, 2, -2, 3]",1.0697896566968219e-05
sc_00090,passing_cutin_g18_dvm5,SM-Normal-IDM,20261417,"[0, 2, 1, 0, 0, 0, 1]","[5, 3, 0, 2, -2, 3]",5.5147876458613725e-06
sc_00091,passing_cutin_g18_dvm5,SM-Normal-IDM,20261417,"[0, 2, 1, 0, 0, 0, 1, 1]","[5, 3, 0, 2, -1, 4]",1.8899694535337394e-05
sc_00092,passing_cutin_g18_dvm5,SM-Normal-IDM,20261417,"[0, 2, 1, 0, 0, 0, 1, 1, 0]","[5, 3, 0, 1, -1, 4]",0.0056732308798526695
sc_00093,passing_cutin_g18_dvm5,SM-Normal-IDM,20261418,[],"[5, 3, -1, 3, -1, 0]",2.4205450052724555e-07
sc_00094,passing_cutin_g18_dvm5,SM-Normal-IDM,20261418,[1],"[5, 3, -1, 3, -1, 0]",2.4205450052724555e-07
sc_00095,passing_cutin_g18_dvm5,SM-Normal-IDM,20261418,"[1, 2]","[5, 3, -1, 3, -1, 1]",6.482402898980984e-07
sc_00096,passing_cutin_g18_dvm5,SM-Normal-IDM,20261418,"[1, 2, 0, 0]","[5, 3, 0, 2, -2, 2]",4.888803519771798e-08
sc_00097,passing_cutin_g18_dvm5,SM-Normal-IDM,20261418,"[1, 2, 0, 0, 0]","[4, 3, 0, 2, -2, 2]",5.512338113763682e-06
sc_00098,passing_cutin_g18_dvm5,SM-Normal-IDM,20261418,"[1, 2, 0, 0, 0, 2]","[5, 3, 0, 2, -2, 3]",5.5147876458613725e-06
sc_00099,passing_cutin_g18_dvm5,SM-Normal-IDM,20261418,"[1, 2, 0, 0, 0, 2, 2, 2]","[5, 3, -1, 2, -1, 4]",9.861094984398127e-08
sc_00100,passing_cutin_g18_dvm5,SM-Normal-IDM,20261418,"[1, 2, 0, 0, 0, 2, 2, 2, 0]","[5, 3, 0, 2, -1, 4]",1.8899694535337394e-05
sc_00101,passing_cutin_g18_dvm5,SM-Normal-IDM,20261418,"[1, 2, 0, 0, 0, 2, 2, 2, 0, 0, 2]","[5, 2, -1, 1, -1, 5]",0.0884523629825396
sc_00102,passing_cutin_g18_dvm5,SM-Normal-IDM,20261419,[],"[5, 3, -1, 3, -1, 0]",2.4205450052724555e-07
sc_00103,passing_cutin_g18_dvm5,SM-Normal-IDM,20261419,[2],"[5, 3, -1, 3, -1, 0]",2.4205450052724555e-07
sc_00104,passing_cutin_g18_dvm5,SM-Normal-IDM,20261419,"[2, 1]","[5, 3, -1, 3, -1, 1]",6.482402898980984e-07
sc_00105,passing_cutin_g18_dvm5,SM-Normal-IDM,20261419,"[2, 1, 2, 2]","[5, 3, -1, 2, -1, 2]",1.2723662050841733e-06
sc_00106,passing_cutin_g18_dvm5,SM-Normal-IDM,20261419,"[2, 1, 2, 2, 2]","[5, 3, -1, 2, -1, 2]",1.2723662050841733e-06
sc_00107,passing_cutin_g18_dvm5,SM-Normal-IDM,20261419,"[2, 1, 2, 2, 2, 0]","[5, 2, -1, 2, -2, 3]",6.488524398855782e-07
sc_00108,passing_cutin_g18_dvm5,SM-Normal-IDM,20261419,"[2, 1, 2, 2, 2, 0, 2, 2]","[5, 2, -1, 2, -1, 4]",0.0003425509957212878
sc_00109,passing_cutin_g18_dvm5,SM-Normal-IDM,20261419,"[2, 1, 2, 2, 2, 0, 2, 2, 1]","[5, 2, -1, 2, -1, 4]",0.0003425509957212878
sc_00110,passing_cutin_g18_dvm2,SM-Normal-IDM,20261517,"[0, 0]","[5, 3, 0, 2, -1, 1]",1.5393179024004667e-08
sc_00111,passing_cutin_g18_dvm2,SM-Normal-IDM,20261517,"[0, 0, 1]","[5, 3, 0, 2, -1, 2]",4.4107648124377564e-08
sc_00112,passing_cutin_g18_dvm2,SM-Normal-IDM,20261517,"[0, 0, 1, 2, 0]","[5, 3, 0, 2, -1, 2]",4.4107648124377564e-08
sc_00113,passing_cutin_g18_dvm2,SM-Normal-IDM,20261517,"[0, 0, 1, 2, 0, 0]","[5, 3, 0, 2, -1, 3]",1.4736180082986167e-07
sc_00114,passing_cutin_g18_dvm2,SM-Normal-IDM,20261517,"[0, 0, 1, 2, 0, 0, 2]","[5, 3, 0, 2, -1, 3]",1.4736180082986167e-07
sc_00115,passing_cutin_g18_dvm2,SM-Normal-IDM,20261517,"[0, 0, 1, 2, 0, 0, 2, 0]","[5, 3, 0, 2, -1, 4]",1.8899694535337394e-05
sc_00116,passing_cutin_g18_dvm2,SM-Normal-IDM,20261518,"[1, 1, 1, 0]","[5, 3, 0, 2, -1, 2]",4.4107648124377564e-08
sc_00117,passing_cutin_g18_dvm2,SM-Normal-IDM,20261518,"[1, 1, 1, 0, 0]","[5, 3, 0, 2, -1, 2]",4.4107648124377564e-08
sc_00118,passing_cutin_g18_dvm2,SM-Normal-IDM,20261518,"[1, 1, 1, 0, 0, 1]","[5, 3, 0, 2, -1, 3]",1.4736180082986167e-07
sc_00119,passing_cutin_g18_dvm2,SM-Normal-IDM,20261518,"[1, 1, 1, 0, 0, 1, 0]","[5, 3, 0, 2, -1, 3]",1.4736180082986167e-07
sc_00120,passing_cutin_g18_dvm2,SM-Normal-IDM,20261518,"[1, 1, 1, 0, 0, 1, 0, 2]","[5, 3, 0, 2, -1, 4]",1.8899694535337394e-05
