method,rank,scenario_id,template_id,selection_reason,selected_build_id,session_id,mode,ego_collision,inconclusive,valid_collision,regression,selection_reward,execution_id,episode_cost,contributing_pattern_ids,new_pattern_id,target_observations_before_query,history_source_count,ucb_count_after,ucb_reward_after,task_id,repeat
Random,1,4179901:S08:space_filling:11,fbrt_cutin_then_brake,seeded_random_without_replacement,mobil_rear_guard_off_v2,compact_regression_mobil_ref_to_rear_guard_off:Random:6,regression,False,False,False,False,0,new-8db6f7bcc085016b1e731bb1,1,[],,0,1,,,compact_regression_mobil_ref_to_rear_guard_off,6
Random,2,4179901:S05:anchor_like:1,fbrt_lane_change_rear,seeded_random_without_replacement,mobil_rear_guard_off_v2,compact_regression_mobil_ref_to_rear_guard_off:Random:6,regression,True,False,True,True,1,new-29c06bea3b77f61ef62cd56f,1,[],,1,1,,,compact_regression_mobil_ref_to_rear_guard_off,6
Random,3,4179901:S05:space_filling:11,fbrt_lane_change_rear,seeded_random_without_replacement,mobil_rear_guard_off_v2,compact_regression_mobil_ref_to_rear_guard_off:Random:6,regression,True,False,True,True,1,new-a0c970db6dfd1ac82300fac0,1,[],,2,1,,,compact_regression_mobil_ref_to_rear_guard_off,6
Random,4,4179901:S02:space_filling:13,fbrt_cutout_static,seeded_random_without_replacement,mobil_rear_guard_off_v2,compact_regression_mobil_ref_to_rear_guard_off:Random:6,regression,False,False,False,False,0,new-b62266f0d438f63699b67059,1,[],,3,1,,,compact_regression_mobil_ref_to_rear_guard_off,6
Random,5,4179901:S01:space_filling:8,fbrt_cutin,seeded_random_without_replacement,mobil_rear_guard_off_v2,compact_regression_mobil_ref_to_rear_guard_off:Random:6,regression,False,False,False,False,0,new-43ca5d2273ba57c454b7deff,1,[],,4,1,,,compact_regression_mobil_ref_to_rear_guard_off,6
Random,6,4179901:S06:space_filling:9,fbrt_moving_lead,seeded_random_without_replacement,mobil_rear_guard_off_v2,compact_regression_mobil_ref_to_rear_guard_off:Random:6,regression,False,False,False,False,0,new-7942758096225bf44a57746d,1,[],,5,1,,,compact_regression_mobil_ref_to_rear_guard_off,6
Random,7,4179901:S05:space_filling:7,fbrt_lane_change_rear,seeded_random_without_replacement,mobil_rear_guard_off_v2,compact_regression_mobil_ref_to_rear_guard_off:Random:6,regression,False,False,False,False,0,new-7b258f36608b98d500f6b82c,1,[],,6,1,,,compact_regression_mobil_ref_to_rear_guard_off,6
Random,8,4179901:S05:space_filling:8,fbrt_lane_change_rear,seeded_random_without_replacement,mobil_rear_guard_off_v2,compact_regression_mobil_ref_to_rear_guard_off:Random:6,regression,True,False,True,True,1,new-d9cd39d37757f224eccfdfed,1,[],,7,1,,,compact_regression_mobil_ref_to_rear_guard_off,6
Random,9,4179901:S01:anchor_like:0,fbrt_cutin,seeded_random_without_replacement,mobil_rear_guard_off_v2,compact_regression_mobil_ref_to_rear_guard_off:Random:6,regression,False,False,False,False,0,new-d35bd48d8679b9e47d214189,1,[],,8,1,,,compact_regression_mobil_ref_to_rear_guard_off,6
Random,10,4179901:S08:space_filling:13,fbrt_cutin_then_brake,seeded_random_without_replacement,mobil_rear_guard_off_v2,compact_regression_mobil_ref_to_rear_guard_off:Random:6,regression,False,False,False,False,0,new-288612112438dda6d7f1f545,1,[],,9,1,,,compact_regression_mobil_ref_to_rear_guard_off,6
Random,11,4179901:S01:space_filling:14,fbrt_cutin,seeded_random_without_replacement,mobil_rear_guard_off_v2,compact_regression_mobil_ref_to_rear_guard_off:Random:6,regression,False,False,False,False,0,new-63076a04f75c8803637a2a4d,1,[],,10,1,,,compact_regression_mobil_ref_to_rear_guard_off,6
Random,12,4179901:S02:space_filling:12,fbrt_cutout_static,seeded_random_without_replacement,mobil_rear_guard_off_v2,compact_regression_mobil_ref_to_rear_guard_off:Random:6,regression,False,False,False,False,0,new-6bd6ab7132d216f74ec29614,1,[],,11,1,,,compact_regression_mobil_ref_to_rear_guard_off,6
Random,13,4179901:S01:space_filling:12,fbrt_cutin,seeded_random_without_replacement,mobil_rear_guard_off_v2,compact_regression_mobil_ref_to_rear_guard_off:Random:6,regression,False,False,False,False,0,new-39b095b12cdf959d3021e4ec,1,[],,12,1,,,compact_regression_mobil_ref_to_rear_guard_off,6
Random,14,4179901:S02:space_filling:9,fbrt_cutout_static,seeded_random_without_replacement,mobil_rear_guard_off_v2,compact_regression_mobil_ref_to_rear_guard_off:Random:6,regression,False,False,False,False,0,new-82dd2958cc30531dfa6cc4e0,1,[],,13,1,,,compact_regression_mobil_ref_to_rear_guard_off,6
Random,15,4179901:S06:space_filling:15,fbrt_moving_lead,seeded_random_without_replacement,mobil_rear_guard_off_v2,compact_regression_mobil_ref_to_rear_guard_off:Random:6,regression,False,False,False,False,0,new-3b8e5786453e59fa3acafdce,1,[],,14,1,,,compact_regression_mobil_ref_to_rear_guard_off,6
Random,16,4179901:S06:anchor_like:1,fbrt_moving_lead,seeded_random_without_replacement,mobil_rear_guard_off_v2,compact_regression_mobil_ref_to_rear_guard_off:Random:6,regression,False,False,False,False,0,new-43aa52b1424eb510d2fa16bc,1,[],,15,1,,,compact_regression_mobil_ref_to_rear_guard_off,6
Random,17,4179901:S06:space_filling:8,fbrt_moving_lead,seeded_random_without_replacement,mobil_rear_guard_off_v2,compact_regression_mobil_ref_to_rear_guard_off:Random:6,regression,False,False,False,False,0,new-5372730362ea9c6f74ac44a2,1,[],,16,1,,,compact_regression_mobil_ref_to_rear_guard_off,6
Random,18,4179901:S01:anchor_like:1,fbrt_cutin,seeded_random_without_replacement,mobil_rear_guard_off_v2,compact_regression_mobil_ref_to_rear_guard_off:Random:6,regression,False,False,False,False,0,new-50af7510ba84623f67feb237,1,[],,17,1,,,compact_regression_mobil_ref_to_rear_guard_off,6
Random,19,4179901:S01:space_filling:5,fbrt_cutin,seeded_random_without_replacement,mobil_rear_guard_off_v2,compact_regression_mobil_ref_to_rear_guard_off:Random:6,regression,False,False,False,False,0,new-720943cc28216ed79ef72303,1,[],,18,1,,,compact_regression_mobil_ref_to_rear_guard_off,6
Random,20,4179901:S01:space_filling:9,fbrt_cutin,seeded_random_without_replacement,mobil_rear_guard_off_v2,compact_regression_mobil_ref_to_rear_guard_off:Random:6,regression,False,False,False,False,0,new-dafe913f7a39c9b19f430c64,1,[],,19,1,,,compact_regression_mobil_ref_to_rear_guard_off,6
